source_video,target_video,source_start,source_end,target_start,target_end,group,category,is_duplicate
1c3639a371f22ee3e5f111d4b9d2b045cfa6fb02.flv,3edda6ce4f34d8bcc1b3843100c36ddbef3c46df.flv,0.0,537.0,23.0,560.0,277,osama_bin_laden_is_dead_obama_speech_at_white_house,True
7c9d142bf1b1ede846c059117f422b1c8ea6bb9e.mp4,8c207ab5a07d12d37dcb666ee8b69c3357bc07fb.flv,38.0,41.0,130.0,133.0,98,dove_evolution_commercial,True
53ff5686f46ac55ae5357e6e7856faf0f5f15173.flv,e3cfb1f40fb5690a700aba9ac1fa35be2fd4ff1f.flv,401.0,482.0,66.0,147.0,293,osama_bin_laden_is_dead_obama_speech_at_white_house,True
60c5b3896a5a75b43ee11719952ebb2a18a20d56.flv,6834f12ea580a4e7309bd8541fb6fbe4daeeda0f.flv,0.0,286.0,0.0,286.0,158,endless_love,True
4a79c873b671f3452afde9d247250d8c3776e7c6.flv,67f1feff7f624cf0b9ac2ebaf49f547a922b4971.flv,3.0,23.0,86.0,106.0,166,infernal_affairs_1,True
6cc806641ede517d2ba98b9ffc5691c152b6c1db.flv,df839544c199b12b5de023c1ee8511b947f5c999.flv,7.0,8.0,11.0,12.0,210,maradona_hand_of_god,True
c1ffd1a86d2b2451edda0bb4b25c914350aa9826.mp4,,75.0,90.0,,,,titanic_fly_scene,False
3ed4f5c0eb04c94353594e8be1a72bcc657e27c7.flv,84ce12a5fff66f4cd789c90bf61156f44fe21fbc.flv,5.0,14.0,1.0,10.0,211,maradona_hand_of_god,True
7c34e7d6022bcd3c7c225feed3fca1e8e72249a4.flv,fca7e9c46b6ec4b8cb53ff17d93bef484a341c5b.flv,0.0,40.0,21.0,61.0,425,president_obama_takes_oath,True
18f317405a4f8e49e546b3f4df689030a1f6664c.flv,8d222599bddb8d463bc7c7835f209cbc41072ca6.mp4,426.0,436.0,40.0,45.0,765,t-mac_13_points_in_35_seconds,True
09b682c899b0727e9990d8e347cdce3df7c5550e.flv,8f8ecb70bd37b0c6fc468c2aab24d6d9b89fe28d.flv,36.0,41.0,94.0,99.0,69,david_beckham_lights_the_olympic_torch,True
3216eba70c40df452e982aabf4b6a19e40f037f4.mp4,d4ff86e0f64fcf4d664f3199e19bd6a38482c3e1.flv,38.0,52.0,5.0,19.0,262,obama_kicks_door,True
3325a3c9120eb6e7d55bf2963a52991f7f47538d.flv,76d63613abd080fe83b99cffe29e85ef01b12d40.flv,56.0,59.0,49.0,52.0,682,scent_of_woman_tango,True
242f1fb1c242b8b01b994185c0111d1ca25ee03e.flv,5b46e9007b0add1d73a11d2f4414efe35b017acb.flv,0.0,284.0,6.0,290.0,150,endless_love,True
6885d63183d393307f6f2206f0dfaccec2d09389.mp4,f27d7252cfb03e3e051488a53801235840f7a58e.flv,0.0,528.0,34.0,560.0,296,osama_bin_laden_is_dead_obama_speech_at_white_house,True
c6d6d37c73f364e3902407e1da07c8e354f66c13.flv,,1007.0,1022.0,,,,president_obama_takes_oath,False
fca7e9c46b6ec4b8cb53ff17d93bef484a341c5b.flv,,132.0,147.0,,,,president_obama_takes_oath,False
2e246b45e7dfba0a7cfb2beb557c40d81dc02c99.flv,5496ef100ec5a5151c058cb264d9877bf7e90960.flv,18.0,28.0,0.0,10.0,209,maradona_hand_of_god,True
3216eba70c40df452e982aabf4b6a19e40f037f4.mp4,f150e062960b477adcac3f12ef4543337f5a91a4.flv,55.0,69.0,0.0,14.0,262,obama_kicks_door,True
126d3e5b61ad28f847ad1ff6d15315742e780ac6.mp4,cf2ead1b5a8474f80e34ea569c8dee86140828a6.flv,22.0,25.0,10.0,13.0,263,obama_kicks_door,True
50dfd1daee780fbf9722990387201e2b367a1f27.flv,ffc734ab3e218f50f27286750b42a924fa151ef5.flv,59.0,230.0,1.0,171.0,952,the_legend_of_1900_magic_waltz,True
3ec7ab68ed6a1690d7c0074bc563d0dccac57726.flv,6f5bbd3e080c65e9a9e52404c9054b2203d3f540.flv,62.0,70.0,1.0,9.0,211,maradona_hand_of_god,True
548e9ff21d5a54cf621986dc6047abf8db12e8b7.flv,9f7862bcee961fdec039a3f287ad7c8351cfbed9.flv,68.0,247.0,59.0,190.0,1122,troy_achilles_and_hector,True
25b4ccc2b3166b565dde7192ed3b7b43921439dd.flv,aba6851ca7f78f3a83216005bef58766e3dfb26d.flv,6.0,16.0,18.0,35.0,562,saving_private_ryan_omaha_beach,True
5b14829fbd7b9a97df21db5b990a57bc13e38a89.flv,99ed602c360a9781ed792eaa504ad1b89b51ae06.flv,224.0,375.0,0.0,157.0,713,scent_of_woman_tango,True
b87117db8a791ef534d91b79dd6d0ab57ffc644c.flv,c4365f3b67428240a4e82a07ec373cc2db96e0a4.mp4,140.0,143.0,46.0,49.0,787,t-mac_13_points_in_35_seconds,True
7033506abf8c15d8f22f26f9ad88dd531cbffb8f.flv,,15.0,30.0,,,,saving_private_ryan_omaha_beach,False
09516f733d69613b8f6085b83d0aacd6f1a7f75d.mp4,3d0a3002441f682c7124806eb9b92c677af2ee9e.flv,41.0,52.0,80.0,89.0,758,t-mac_13_points_in_35_seconds,True
0dc847c3b563024b2052b75a28952c2434d059d1.flv,df097cb467b3a43683f48082099cfdfddae84f37.flv,0.0,37.0,1.0,38.0,420,president_obama_takes_oath,True
c3ca62e39b8118a8773999ca5ed4757784032371.flv,,259.0,274.0,,,,the_last_samurai_last_battle,False
7b2158aad4ea2e6c8f149bb869801b96734c1b1c.flv,caec7bae88f5b5d60a08487e9d9a8cd27251c64e.flv,18.0,57.0,33.0,72.0,138,dove_evolution_commercial,True
be847241c99460843de85ffa104b07dcac62e588.flv,e0159f1fa526854a81158d9cef89e31d2d189bf1.mp4,0.0,162.0,0.0,163.0,999,titanic_fly_scene,True
010aeeb1a5d471418ceab8f8c0d5f34d84059cff.flv,5b14829fbd7b9a97df21db5b990a57bc13e38a89.flv,0.0,142.0,232.0,368.0,674,scent_of_woman_tango,True
9c1d7e91288e07083e4456f8fe6b771aba039ed1.flv,b3205b97de392174f3905831fc0dba5724fdabf1.flv,4.0,74.0,0.0,69.0,104,dove_evolution_commercial,True
16f1dd96af646d6ec01c5ec51c0fdfafd8206c0a.flv,2cd2f88502bf8d74a3da0f257b47da823e0d42a0.flv,0.0,152.0,21.0,167.0,690,scent_of_woman_tango,True
90b2f3863d924c7aef594b86c1d3a10092ff141e.mp4,fcbbdde0277a104a69b6bf013156f875ec9cfe0c.flv,92.0,106.0,114.0,129.0,1008,titanic_fly_scene,True
1e0136fbd902af54aa012949158c995b75f9b443.flv,e7d95916555f9a89b377a0e9f94087416c8f9914.flv,0.0,186.0,105.0,284.0,964,the_pursuit_of_happyness_-_job_interview,True
3216eba70c40df452e982aabf4b6a19e40f037f4.mp4,86a3afc4f23edb7fa6919bd7371ea7d5f4a946f9.flv,19.0,33.0,0.0,14.0,262,obama_kicks_door,True
31a250020d2cd699bc5fc42897f7522043713cf5.flv,,65.0,71.0,,,,saving_private_ryan_omaha_beach,False
952cdd6aa1a8c2f63f9900960b3e18ffb217b97f.flv,,697.0,712.0,,,,saving_private_ryan_omaha_beach,False
5b14829fbd7b9a97df21db5b990a57bc13e38a89.flv,76d63613abd080fe83b99cffe29e85ef01b12d40.flv,236.0,363.0,2.0,89.0,680,scent_of_woman_tango,True
5d38467d3becf8273bd7ae9028a37fcb0cc3828b.flv,66e0225621e48946b7ab09027c18c83b69564002.flv,23.0,39.0,0.0,16.0,36,beckham_70_yard_goal,True
8c207ab5a07d12d37dcb666ee8b69c3357bc07fb.flv,b581ea1130d0c4c9af02e98dcb887cb8d58350e8.flv,138.0,157.0,36.0,55.0,113,dove_evolution_commercial,True
707ffde910facfe859304ae491bc154ab33dd2de.flv,b3205b97de392174f3905831fc0dba5724fdabf1.flv,4.0,74.0,0.0,69.0,104,dove_evolution_commercial,True
200130e0c39f0239a22ad3f873feac30e88134df.flv,,0.0,15.0,,,,saving_private_ryan_omaha_beach,False
1923a4832593ecf189271664f80e8fbdfa451dec.flv,d4ff86e0f64fcf4d664f3199e19bd6a38482c3e1.flv,3.0,17.0,5.0,19.0,262,obama_kicks_door,True
131233edfdfe1756ea474dab9f3a70d8530433d7.flv,34d8301dfa17beef7c5a703c03765e328c2c108e.flv,0.0,8.0,86.0,94.0,972,titanic_fly_scene,True
42daf76df2f31f0805f2f3f766bb348bb24feac7.flv,92e46a8b5dcc5f1ad5db96e626d56234470f3c28.flv,36.0,85.0,126.0,175.0,849,t-mac_13_points_in_35_seconds,True
23254771545e5d278548ba02d25d32add952b2a4.flv,468410600142c136d707b4cbc3ff0703c112575d.flv,10.0,12.0,25.0,27.0,163,infernal_affairs_1,True
44be6e5e82fced7f458b17c0230118034ffc7a57.flv,668693ee5770ba3bfd7c6b5374d13c137a7c5942.flv,74.0,346.0,168.0,437.0,835,t-mac_13_points_in_35_seconds,True
00274a923e13506819bd273c694d10cfa07ce1ec.flv,1d4062ded72a30caa898d2bb9c105994c8a96acc.flv,28.0,71.0,0.0,43.0,422,president_obama_takes_oath,True
d28c7952b8a60139126446bc81bff5ecebcf5129.flv,e6f1dd4881c0088d861763dadd83db04fb353500.flv,31.0,40.0,63.0,72.0,25,beckham_70_yard_goal,True
136eff8ef85eee42b2370ad6e444498980ba63a8.mp4,1b1badb376661cc4822989e45505f66e23cb65e4.flv,0.0,150.0,361.0,510.0,688,scent_of_woman_tango,True
94d686ecfa99d431b9f35e589e601057a2075b8e.flv,cf6db37d583044431cc33c4c723988cb6c5edc46.flv,583.0,768.0,134.0,302.0,909,the_last_samurai_last_battle,True
5106b657cb3d1d98dd496150241aa529c80bd479.flv,f8190a5d3e36b6bf01db0a4033c917c5cef93bcc.flv,426.0,436.0,37.0,42.0,765,t-mac_13_points_in_35_seconds,True
126f24a39b0ce19993d1fd7bd620fa98a3eda3a7.mp4,86a3afc4f23edb7fa6919bd7371ea7d5f4a946f9.flv,0.0,8.0,6.0,14.0,269,obama_kicks_door,True
553d57eaab222c10c21018a6adc6d79841ba07e0.flv,86a3afc4f23edb7fa6919bd7371ea7d5f4a946f9.flv,0.0,14.0,0.0,14.0,262,obama_kicks_door,True
7c9d142bf1b1ede846c059117f422b1c8ea6bb9e.mp4,7dd1b7a83128fb78f018c557d918b0670989457e.mp4,2.0,6.0,0.0,4.0,110,dove_evolution_commercial,True
7033506abf8c15d8f22f26f9ad88dd531cbffb8f.flv,704ed7f6755163d92e4344ede58a30e14ceb5ed4.flv,50.0,131.0,16.0,90.0,644,saving_private_ryan_omaha_beach,True
24a6a7d24464d6fe488abb181d89e426e8eeb837.mp4,df9176364d95bda36fced3537e44b838cb548e78.flv,0.0,16.0,4.0,20.0,298,osama_bin_laden_is_dead_obama_speech_at_white_house,True
76d63613abd080fe83b99cffe29e85ef01b12d40.flv,ee126b94478ec14c15bc7305974fbcfc07f4d40c.flv,2.0,89.0,100.0,232.0,680,scent_of_woman_tango,True
931eee04c9bc764b3005c949528dec603d1d8394.flv,c9cee9c02cc23af3a26ee9548b895addd643974f.flv,2.0,89.0,53.0,180.0,680,scent_of_woman_tango,True
14c262ea09b4ca66feb7e88cf57e0faaeacc301f.mp4,28ae1e3aa722872cec66e9c83a35243accd27e2d.flv,1.0,13.0,0.0,12.0,266,obama_kicks_door,True
24a6a7d24464d6fe488abb181d89e426e8eeb837.mp4,f27d7252cfb03e3e051488a53801235840f7a58e.flv,0.0,16.0,5.0,21.0,298,osama_bin_laden_is_dead_obama_speech_at_white_house,True
851a6c020ddd0b07bff00667ae8913fe8452f422.flv,8f7a8b19c5309b39e0d2b908d6ab9ccb313da72b.flv,0.0,101.0,0.0,101.0,1086,titanic_fly_scene,True
0bd7440f5fdf08fa30d2281f111ed4ae97d836a4.flv,44be6e5e82fced7f458b17c0230118034ffc7a57.flv,51.0,69.0,82.0,100.0,767,t-mac_13_points_in_35_seconds,True
89b40b8ef5ec589cd8e4ebe5970e6b488f6b31ad.flv,eaa384490867c32e4b3cc0d7d969af63d1a6edda.flv,230.0,289.0,1.0,59.0,294,osama_bin_laden_is_dead_obama_speech_at_white_house,True
957f17421e19ce01afd6f92c895aba72342bd8ea.flv,,1050.0,1065.0,,,,obama_kicks_door,False
089bc4a7f6d8747dad92507019b100c5ec09a883.flv,e2cecbbd4e5683a610152e4b0e83deaa5090384a.flv,20.0,68.0,0.0,48.0,424,president_obama_takes_oath,True
8c207ab5a07d12d37dcb666ee8b69c3357bc07fb.flv,,177.0,192.0,,,,dove_evolution_commercial,False
3216eba70c40df452e982aabf4b6a19e40f037f4.mp4,cf2ead1b5a8474f80e34ea569c8dee86140828a6.flv,38.0,52.0,0.0,14.0,262,obama_kicks_door,True
1e5aec100a5b897342a4be9246995fc16f784e66.flv,,338.0,353.0,,,,run_forrest_fun,False
668693ee5770ba3bfd7c6b5374d13c137a7c5942.flv,e4b443e64c27a3364d16db8e11e6e85f2d3fd7ed.flv,78.0,86.0,0.0,8.0,810,t-mac_13_points_in_35_seconds,True
5965d78e520ef5c162f22da88745f4c6dccd6fcf.flv,925548514617c04feb99967cd1d40d985c467a2f.flv,0.0,10.0,7.0,17.0,209,maradona_hand_of_god,True
36058f2303f8f3792127c3aba23a770e2ce3a2af.flv,b441a4e7885a6735296550f6e765a3fc1da1947b.flv,0.0,182.0,56.0,231.0,953,the_legend_of_1900_magic_waltz,True
2d623f928f8b37ce5978269e4198728c13e3f590.mp4,3216eba70c40df452e982aabf4b6a19e40f037f4.mp4,0.0,13.0,39.0,52.0,265,obama_kicks_door,True
957f17421e19ce01afd6f92c895aba72342bd8ea.flv,,1440.0,1455.0,,,,obama_kicks_door,False
c6d6d37c73f364e3902407e1da07c8e354f66c13.flv,,722.0,737.0,,,,president_obama_takes_oath,False
1357538fd1fd2975a8b3f750d5f6b13695aa4e28.flv,a100d2d414f1faa59abdb409e8858d6a4ba96618.flv,31.0,39.0,63.0,72.0,25,beckham_70_yard_goal,True
31c0c6ca1fb0a7c86e0aff458bffd0002d42ef3e.flv,c9cee9c02cc23af3a26ee9548b895addd643974f.flv,75.0,102.0,191.0,220.0,714,scent_of_woman_tango,True
a62ac3f909e921e2ae89e2ed4c272cfadab838a3.mp4,,41.0,45.0,,,,the_last_samurai_last_battle,False
2283dfecf92111bfb035888b4810c011ac164876.flv,f6e296bfd930f585e165246530efa97bc035330f.flv,15.0,19.0,71.0,105.0,196,kennedy_assassination_slow_motion,True
31c0c6ca1fb0a7c86e0aff458bffd0002d42ef3e.flv,e2409fb1749da3d3412fa0e5a1751c2fa0a6965d.flv,38.0,181.0,0.0,150.0,688,scent_of_woman_tango,True
09516f733d69613b8f6085b83d0aacd6f1a7f75d.mp4,18f317405a4f8e49e546b3f4df689030a1f6664c.flv,54.0,91.0,96.0,131.0,762,t-mac_13_points_in_35_seconds,True
97c71f57e83f6ab16906fdd7edc8e3f88d2ceee1.flv,ab12206048207553294916664d0ebf1cd9e81ef6.flv,21.0,39.0,0.0,18.0,14,beckham_70_yard_goal,True
35cea0d48b9b69a6cda373766ea586ccaa5ba78d.flv,f8190a5d3e36b6bf01db0a4033c917c5cef93bcc.flv,6.0,13.0,9.0,16.0,784,t-mac_13_points_in_35_seconds,True
75b4b9a9fc4801a2f625297c698e5eef4ec37cfe.flv,c9cee9c02cc23af3a26ee9548b895addd643974f.flv,113.0,122.0,144.0,153.0,679,scent_of_woman_tango,True
3f81759e6e56e326c0deb3f1ca002e4c68d87eec.flv,d073f04bba4abb056f4be01b6f1bf5b58bb330de.flv,42.0,122.0,190.0,270.0,278,osama_bin_laden_is_dead_obama_speech_at_white_house,True
d2442b3cf9396f6ae26a92e9165c8798297384ed.mp4,eb97c61cfd330392a5d8c6d5c7e48fdfd1a0c859.flv,7.0,132.0,0.0,119.0,1017,titanic_fly_scene,True
b65af0803a5dcaac7776b7c8648091ca3bec8471.mp4,d8bc8b695ab831b8f511dd2ab56d7e7ac0cd1a21.flv,8.0,21.0,0.0,13.0,393,osama_bin_laden_is_dead_obama_speech_at_white_house,True
8c207ab5a07d12d37dcb666ee8b69c3357bc07fb.flv,,9.0,24.0,,,,dove_evolution_commercial,False
